set contour 
set terminal gif animate 
set out 'anim.gif' 
splot '-' w pm3d 
0.2 0.4 28.4873
0.2 0.5 29.0532
0.2 0.6 29.2645
0.2 0.7 29.3412
0.2 0.8 29.3684
0.2 0.9 29.3779
0.2 1 29.3811
0.2 1.1 29.3822
0.2 1.2 29.3825
0.2 1.3 29.3827
0.2 1.4 29.3827
0.2 1.5 29.3827
0.2 1.6 29.3827
0.2 1.7 29.3554
0.2 1.8 27.4921
0.2 1.9 19.3122
0.2 2 0

0.3 0 0
0.3 0.1 5.96533
0.3 0.2 10.1896
0.3 0.3 12.5061
0.3 0.4 13.6178
0.3 0.5 14.1087
0.3 0.6 14.3132
0.3 0.7 14.3947
0.3 0.8 14.4261
0.3 0.9 14.4378
0.3 1 14.4421
0.3 1.1 14.4436
0.3 1.2 14.4442
0.3 1.3 14.4444
0.3 1.4 14.4444
0.3 1.5 14.4444
0.3 1.6 14.4444
0.3 1.7 14.4112
0.3 1.8 13.2888
0.3 1.9 8.92063
0.3 2 0

0.4 0 0
0.4 0.1 2.43628
0.4 0.2 4.45471
0.4 0.3 5.73663
0.4 0.4 6.43489
0.4 0.5 6.77865
0.4 0.6 6.93603
0.4 0.7 7.00421
0.4 0.8 7.03247
0.4 0.9 7.04377
0.4 1 7.04815
0.4 1.1 7.0498
0.4 1.2 7.05041
0.4 1.3 7.05063
0.4 1.4 7.05071
0.4 1.5 7.05074
0.4 1.6 7.05075
0.4 1.7 7.01511
0.4 1.8 6.39689
0.4 1.9 4.20977
0.4 2 0

0.5 0 0
0.5 0.1 1.13913
0.5 0.2 2.12835
0.5 0.3 2.80882
0.5 0.4 3.2121
0.5 0.5 3.42739
0.5 0.6 3.5337
0.5 0.7 3.5831
0.5 0.8 3.60495
0.5 0.9 3.61423
0.5 1 3.61803
0.5 1.1 3.61955
0.5 1.2 3.62013
0.5 1.3 3.62036
0.5 1.4 3.62044
0.5 1.5 3.62047
0.5 1.6 3.62048
0.5 1.7 3.58392
0.5 1.8 3.22234
0.5 1.9 2.08431
0.5 2 0

0.6 0 0
0.6 0.1 0.676958
0.6 0.2 1.23028
0.6 0.3 1.61126
0.6 0.4 1.84402
0.6 0.5 1.97388
0.6 0.6 2.04129
0.6 0.7 2.07428
0.6 0.8 2.08964
0.6 0.9 2.0965
0.6 1 2.09946
0.6 1.1 2.10069
0.6 1.2 2.10119
0.6 1.3 2.10139
0.6 1.4 2.10146
0.6 1.5 2.10149
0.6 1.6 2.1015
0.6 1.7 2.06463
0.6 1.8 1.81678
0.6 1.9 1.14164
0.6 2 0

0.7 0 0
0.7 0.1 0.516818
0.7 0.2 0.896828
0.7 0.3 1.14229
0.7 0.4 1.28804
0.7 0.5 1.36914
0.7 0.6 1.41187
0.7 0.7 1.43331
0.7 0.8 1.44363
0.7 0.9 1.4484
0.7 1 1.45054
0.7 1.1 1.45146
0.7 1.2 1.45185
0.7 1.3 1.45201
0.7 1.4 1.45208
0.7 1.5 1.4521
0.7 1.6 1.45211
0.7 1.7 1.41513
0.7 1.8 1.21376
0.7 1.9 0.732276
0.7 2 0

0.8 0 0
0.8 0.1 0.46267
0.8 0.2 0.77689
0.8 0.3 0.964995
0.8 0.4 1.06998
0.8 0.5 1.12596
0.8 0.6 1.15477
0.8 0.7 1.16914
0.8 0.8 1.17609
0.8 0.9 1.17935
0.8 1 1.18084
0.8 1.1 1.18151
0.8 1.2 1.1818
0.8 1.3 1.18192
0.8 1.4 1.18197
0.8 1.5 1.18199
0.8 1.6 1.182
0.8 1.7 1.14498
0.8 1.8 0.96162
0.8 1.9 0.558229
0.8 2 0

0.9 0 0
0.9 0.1 0.444748
0.9 0.2 0.734879
0.9 0.3 0.899905
0.9 0.4 0.986968
0.9 0.5 1.03094
0.9 0.6 1.05256
0.9 0.7 1.06298
0.9 0.8 1.06791
0.9 0.9 1.07021
